From	To
E7EMB3	CALM2
E7EMK3	FLOT2
E7EP72	C19orf25
E7EPK1	SEPTIN7
E7EPT4	NDUFV2
E7EQ64	PRSS1
E7EQN9	INPP4B
E7EQR8	YIPF3
E7EQT4	ACIN1
E7EQY1	FAM136A
E7ERK9	EIF2B4
E7ERS3	ZC3H18
E7ES52	CDKN1B
E7ESA6	PTK2
E7ESC6	XPO7
E7ESP4	ITGA2
E7ESZ7	NDUFA10
E7ETB3	DNPEP
E7ETH0	CFI
E7ETU7	MRPL3
E7ETY2	TCOF1
E7EUC7	UGP2
E7EUU4	EIF4G1
E7EVA0	MAP4
E7EVC7	ATG16L1
E7EW49	CLASP2
E7EWN3	SETD5
E7EWW0	VPS35L
E7EX17	EIF4B
E7EX18	MPV17
E7EX59	PCCB
E9PAV3	NACA
E9PB61	ALYREF
E9PCN2	GUCY1B1
E9PCR7	OGDH
E9PEB5	FUBP1
E9PEW8	HBD
E9PF32	DENND3
E9PF49	NDUFB9
E9PF82	CAMK2D
E9PFW3	AP2M1
E9PGC8	MAP1A
E9PGZ1	CALD1
E9PI41	EXOSC4
E9PI68	SPCS2
E9PJ55	TCP11L1
E9PJL9	NDUFV1
E9PK25	CFL1
E9PK54	HSPA8
E9PK94	DGKZ
E9PKP7	UBTF
E9PKQ5	CCDC90B
E9PKU7	GANAB
E9PL57	NEDD8-MDP1
E9PLM6	MDK
E9PN81	RNASEH2C
E9PNI7	PARP10
E9PQT8	PHF1
E9PQY2	PFDN4
E9PR30	FAU
E9PR47	AAMDC
E9PRT6	PNLIPRP1
E9PRY8	EEF1D
E9PSG1	CAST
F5GX28	KDM4B
F5GXA0	SUMF1
F5GXJ1	NDUFS7
F5GYJ8	OTUB1
F5GYQ1	ATP6V0D1
F5GZB4	LOXHD1
F5GZG1	RAP1B
F5H0R1	TUT1
F5H211	ATXN3
F5H269	DMXL1
F5H2B5	PLD4
F5H5D3	TUBA1C
F5H5X6	NOP2
F5H8L0	RABGAP1L
F6R8P8	SGIP1
F6S8M0	GNS
F6TER3	LILRB1
F6VRR5	POLDIP3
F6WQW2	RANBP1
F6XZQ7	GSTM2
F8VQD4	C12orf75
F8VS19	ZNF844
F8VVA7	COPZ1
F8VVT9	AGAP2
F8VWL3	FGD4
F8VXC8	SMARCC2
F8VXU5	VPS29
F8VYN9	ARL1
F8VZN8	PPP1R12A
F8W0Q9	PPHLN1
F8W0W8	PPP1CC
F8W1A0	PPP1CC
F8W6A0	PPHLN1
F8W6G1	NRBP1
F8W719	ITSN2
F8W727	RPL32
F8W7C6	RPL10
F8W8Z9	TOMM5
F8W930	IGF2BP2
F8WA39	MTMR1
F8WAL6	ABI2
F8WAR4	CHCHD3
F8WCF6	ARPC4-TTLL3
F8WD59	RPSA
F8WD64	STUM
F8WE98	FLNA
F8WF69	CLTA
G0XQ39	STIM1
G1AUC5	PPP1R2B
G3V0E4	PMPCB
G3V180	DPP3
G3V1A6	GSDMD
G3V1V0	MYL6
G3V2N0	GNG2
G3V2S9	SLIRP
G3V2U7	ACYP1
G3V325	ATP5MF-PTCD1
G3V3A4	SNW1
G3V3D1	NPC2
G3V483	G2E3
G3V4C1	HNRNPC
G3V4P8	GMFB
G3V4T6	GSTZ1
G3V4X1	PSMC1
G3V5Z7	PSMA6
G3XA98	FBLN5
G3XAH0	SEPTIN5
G3XAI2	LAMB1
G3XAK1	MST1
G3XAN8	TIMM8B
G5E933	SBF1
G5E975	SMARCB1
G5E9D4	ELP4
G5E9T8	GOSR1
G5E9W9	GIMAP4
G5EA30	CELF1
G8JLB6	HNRNPH1
G8JLD5	DNM1L
G8JLH6	CD9
H0UI06	COX7A2
H0UI80	NELFCD
H0Y2M6	CLCN7
H0Y2S9	MPRIP
H0Y2W2	ATAD3A
H0Y300	HP
H0Y368	DPM1
H0Y3Z3	P4HB
H0Y449	YBX1
H0Y4R2	POR
H0Y5F3	FLNA
H0Y5F5	PABPC4
H0Y5K5	ERGIC3
H0Y886	NDUFB5
H0Y8C2	RPL22L1
H0Y8C3	MTCH1
H0Y8C4	PPP2R5D
H0Y8C6	IPO5
H0Y8P4	UTP15
H0Y8X4	DNPH1
H0Y9X1	TMA16
H0YA96	HNRNPD
H0YB09	DGLUCY
H0YBZ2	CD74
H0YF29	C8orf82
H0YFI5	CRACR2A
H0YI09	TMT1A
H0YIS7	RNASEK-C17orf49
H0YJE6	SPTB
H0YJH7	TMPO
H0YK18	AKAP13
H0YK48	TPM1
H0YKY3	PSTPIP1
H0YL70	TLE3
H0YM31	PCK2
H0YMH5	EMC4
H0YMV8	RPS27L
H0YN33	CINP
H0YNJ6	GMPR2
H3BLT9	NLRC3
H3BLU2	LSAMP
H3BLZ8	DDX17
H3BM74	NUB1
H3BM91	COMMD4
H3BMD8	ARPP19
H3BMV3	JPT2
H3BN02	ITGAX
H3BND4	PDXDC1
H3BNQ7	ABAT
